tiempo_ms,Vm_R_mV,Vm_Q_mV,Delta_mV
7.200000000000069,-68.36182174393042,-68.36182174393042,0.0
7.225000000000069,-68.3579564290779,-68.3579564290779,0.0
7.250000000000069,-68.35409883056703,-68.35409883056703,0.0
7.27500000000007,-68.35024893555322,-68.35024893555322,0.0
7.30000000000007,-68.34640673120786,-68.34640673120786,0.0
7.32500000000007,-68.3425722047181,-68.3425722047181,0.0
7.350000000000071,-68.33874534328675,-68.33874534328675,0.0
7.375000000000071,-68.33492613413225,-68.33492613413225,0.0
7.400000000000071,-68.33111456448847,-68.33111456448847,0.0
7.425000000000072,-68.32731062160468,-68.32731062160468,0.0
7.450000000000072,-68.32351429274536,-68.32351429274536,0.0
7.4750000000000725,-68.31972556519018,-68.31972556519018,0.0
7.500000000000073,-68.31594442623391,-68.31594442623391,0.0
7.525000000000073,-68.31217086318627,-68.31217086318627,0.0
7.5500000000000735,-68.30840486337188,-68.30840486337188,0.0
7.575000000000074,-68.30464641413019,-68.30464641413019,0.0
7.600000000000074,-68.30089550281538,-68.30089550281538,0.0
7.625000000000075,-68.29715211679627,-68.29715211679627,0.0
7.650000000000075,-68.2934162434563,-68.2934162434563,0.0
7.675000000000075,-68.2896878701934,-68.2896878701934,0.0
7.700000000000076,-68.28596698441994,-68.28596698441994,0.0
7.725000000000076,-68.28225357356268,-68.28225357356268,0.0
7.750000000000076,-68.2785476250627,-68.2785476250627,0.0
7.775000000000077,-68.27484912637532,-68.27484912637532,0.0
7.800000000000077,-68.27115806497004,-68.27115806497004,0.0
7.8250000000000774,-68.26747442833054,-68.26747442833054,0.0
7.850000000000078,-68.26379820395456,-68.26379820395456,0.0
7.875000000000078,-68.2601293793539,-68.2601293793539,0.0
7.9000000000000785,-68.2564679420543,-68.2564679420543,0.0
7.925000000000079,-68.25281387959548,-68.25281387959548,0.0
7.950000000000079,-68.24916717953101,-68.24916717953101,0.0
7.97500000000008,-68.24552782942835,-68.24552782942835,0.0
